s, lockin_update_pulse, nco_cos[0..11], nco_cos[11], nco_cos[10], nco_cos[9], nco_cos[8], nco_cos[7], nco_cos[6], nco_cos[5], nco_cos[4], nco_cos[3], nco_cos[2], nco_cos[1], nco_cos[0], nco_sin[0..11], nco_sin[11], nco_sin[10], nco_sin[9], nco_sin[8], nco_sin[7], nco_sin[6], nco_sin[5], nco_sin[4], nco_sin[3], nco_sin[2], nco_sin[1], nco_sin[0], 
0, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
1, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
2, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
3, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
4, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
5, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
6, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
7, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
8, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
9, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
10, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
11, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
12, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
13, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
14, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
15, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
16, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
17, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
18, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
19, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
20, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
21, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
22, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
23, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
24, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
25, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
26, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
27, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
28, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
29, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
30, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
31, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
32, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, 
33, 1, 1F0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
34, 0, A93, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, 345, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
36, 0, 174, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
37, 1, 6DA, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
38, 0, D38, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
39, 1, 746, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
40, 0, 36B, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
41, 1, FA7, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
42, 0, 702, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
43, 1, 617, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
44, 0, E35, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
45, 1, 7D3, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
46, 0, 4D7, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
