s, adc_data[0..11], adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0], adc_start, adc_channel[0..2], adc_channel[2], adc_channel[1], adc_channel[0], lockin_update_pulse, 
0, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
2, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
3, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
4, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
5, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
6, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
7, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
8, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
9, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
10, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
11, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
12, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
13, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
14, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
15, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
16, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
17, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
18, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
19, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
20, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
21, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
22, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
23, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
24, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
25, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
26, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
27, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
28, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
29, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
30, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
31, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
32, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
33, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
34, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
35, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
36, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
37, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
38, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
39, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
40, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
41, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
42, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
43, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
44, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
45, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
46, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
47, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
48, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
49, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
50, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
51, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
52, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
53, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
54, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
55, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
56, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
57, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
58, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
59, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
60, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
61, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
62, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
63, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
64, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
65, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
66, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
67, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
68, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
69, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
70, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
71, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
72, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
73, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
74, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
75, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
76, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
77, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
78, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
79, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
80, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
81, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
82, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
83, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
84, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
85, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
86, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
87, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
88, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
89, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
90, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
91, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
92, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
93, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
94, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
95, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
96, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
97, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
98, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
99, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
100, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
101, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
102, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
103, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
104, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
105, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
106, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
107, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
108, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
109, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
110, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
111, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
112, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
113, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
114, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
