s, adc_start, adc_channel[0], adc_channel[2], adc_channel[1], lockin_update_pulse, ref_1[0], ref_1[1], ref_1[3], ref_1[4], ref_1[5], ref_1[6], ref_1[7], ref_1[8], ref_1[9], ref_1[10], ref_1[11], ref_1[2], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
2, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
3, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
4, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
5, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
6, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
7, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
8, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
9, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
10, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
11, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
12, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
13, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
14, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
15, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
16, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
17, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
18, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
19, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
20, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
21, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
22, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
23, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
24, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
25, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
26, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
27, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
28, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
29, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
