Signal Legend:

Key        Signal Name

0        = adc_data[0..11]
1        = KEY[0]~input
2        = adc_finished_pulse
3        = adc_first_run
4        = adc_ready
5        = adc_start
6        = adc_channel[0..2]

Data Table:

Signals-> 0    1 2 3 4 5 6  

sample

-16       000h 0 0 0 0 0 0h 
-15       000h 0 0 0 0 0 0h 
-14       000h 0 0 0 0 0 0h 
-13       000h 0 0 0 0 0 0h 
-12       000h 0 0 0 0 0 0h 
-11       000h 0 0 0 0 0 0h 
-10       000h 0 0 0 0 0 0h 
-9        000h 0 0 0 0 0 0h 
-8        000h 0 0 0 0 0 0h 
-7        000h 0 0 0 0 0 0h 
-6        000h 0 0 0 0 0 0h 
-5        000h 0 0 0 0 0 0h 
-4        000h 0 0 0 0 0 0h 
-3        000h 1 0 1 0 0 0h 
-2        000h 1 0 1 0 0 0h 
-1        000h 1 0 1 0 0 0h 
0         000h 1 0 1 0 0 0h 
1         000h 1 0 1 0 0 0h 
2         000h 1 0 1 0 0 0h 
3         000h 1 0 1 0 0 0h 
4         000h 1 0 1 0 0 0h 
5         000h 1 0 1 0 0 0h 
6         000h 1 0 1 0 0 0h 
7         000h 1 0 1 0 0 0h 
8         000h 1 0 1 0 0 0h 
9         000h 1 0 1 0 0 0h 
10        000h 1 0 1 0 0 0h 
11        000h 1 0 1 0 0 0h 
12        000h 1 0 1 0 0 0h 
13        000h 1 0 1 0 0 0h 
14        000h 1 0 1 0 0 0h 
15        000h 1 0 1 0 0 0h 
16        000h 1 0 1 0 0 0h 
17        000h 1 0 1 0 0 0h 
18        000h 1 0 1 0 0 0h 
19        000h 1 0 1 0 0 0h 
20        000h 1 0 1 0 0 0h 
21        000h 1 0 1 0 0 0h 
22        000h 1 0 1 0 0 0h 
23        000h 1 0 1 0 0 0h 
24        000h 1 0 1 0 0 0h 
25        000h 1 0 1 0 0 0h 
26        000h 1 0 1 0 0 0h 
27        000h 1 0 1 0 0 0h 
28        000h 1 0 1 0 0 0h 
29        000h 1 0 1 0 0 0h 
30        000h 1 0 1 0 0 0h 
31        000h 1 0 1 0 0 0h 
32        000h 1 0 1 0 0 0h 
33        000h 1 0 1 0 0 0h 
34        000h 1 0 1 0 0 0h 
35        000h 1 0 1 0 0 0h 
36        000h 1 0 1 0 0 0h 
37        000h 1 0 1 0 0 0h 
38        000h 1 0 1 0 0 0h 
39        000h 1 0 1 0 0 0h 
40        000h 1 0 1 0 0 0h 
41        000h 1 0 1 0 0 0h 
42        000h 1 0 1 0 0 0h 
43        000h 1 0 1 0 0 0h 
44        000h 1 0 1 0 0 0h 
45        000h 1 0 1 0 0 0h 
46        000h 1 0 1 0 0 0h 
47        000h 1 0 1 0 0 0h 
48        000h 1 0 1 0 0 0h 
49        000h 1 0 1 0 0 0h 
50        000h 1 0 1 0 0 0h 
51        000h 1 0 1 0 0 0h 
52        000h 1 0 1 0 0 0h 
53        000h 1 0 1 0 0 0h 
54        000h 1 0 1 0 0 0h 
55        000h 1 0 1 0 0 0h 
56        000h 1 0 1 0 0 0h 
57        000h 1 0 1 0 0 0h 
58        000h 1 0 1 0 0 0h 
59        000h 1 0 1 0 0 0h 
60        800h 1 0 1 0 0 0h 
61        800h 1 0 1 0 0 0h 
62        800h 1 0 1 0 0 0h 
63        800h 1 0 1 0 0 0h 
64        800h 1 0 1 0 0 0h 
65        800h 1 0 1 0 0 0h 
66        800h 1 0 1 0 0 0h 
67        900h 1 0 1 0 0 0h 
68        900h 1 0 1 0 0 0h 
69        900h 1 0 1 0 0 0h 
70        980h 1 0 1 0 0 0h 
71        980h 1 0 1 0 0 0h 
72        9C0h 1 0 1 0 0 0h 
73        9C0h 1 0 1 0 0 0h 
74        9C0h 1 0 1 0 0 0h 
75        9E0h 1 0 1 0 0 0h 
76        9E0h 1 0 1 0 0 0h 
77        9E0h 1 0 1 0 0 0h 
78        9E0h 1 0 1 0 0 0h 
79        9E0h 1 0 1 0 0 0h 
80        9E8h 1 0 1 0 0 0h 
81        9E8h 1 0 1 0 0 0h 
82        9E8h 1 0 1 0 0 0h 
83        9E8h 1 0 1 0 0 0h 
84        9E8h 1 0 1 0 0 0h 
85        9EAh 1 0 1 0 0 0h 
86        9EAh 1 0 1 0 0 0h 
87        9EAh 1 0 1 0 0 0h 
88        9EAh 1 0 1 0 0 0h 
89        9EAh 1 0 1 0 0 0h 
90        9EAh 1 0 1 0 0 0h 
91        9EAh 1 0 1 0 0 0h 
92        9EAh 1 0 1 0 0 0h 
93        9EAh 1 0 1 0 0 0h 
94        9EAh 1 0 1 0 0 0h 
95        9EAh 1 0 1 0 0 0h 
96        9EAh 1 0 1 0 0 0h 
97        9EAh 1 0 1 0 0 0h 
98        9EAh 1 0 1 0 0 0h 
99        9EAh 1 0 1 0 0 0h 
100       9EAh 1 0 1 0 0 0h 
101       9EAh 1 0 1 0 0 0h 
102       9EAh 1 0 1 0 0 0h 
103       9EAh 1 0 1 0 0 0h 
104       9EAh 1 0 1 0 0 0h 
105       9EAh 1 0 1 0 0 0h 
106       9EAh 1 0 1 0 0 0h 
107       9EAh 1 0 1 0 0 0h 
108       9EAh 1 0 1 0 0 0h 
109       9EAh 1 0 1 0 0 0h 
110       9EAh 1 0 1 0 0 0h 
111       9EAh 1 0 1 0 0 0h 
